"voornaam","achternaam","initiaal","initnaam","partij","initiatieven","vragen","tussenkomsten","vrageninitiatieven","url"
"Bart","Nevens","B.","B. Nevens","N-VA",18,216,434,234,"/vlaamse-volksvertegenwoordigers/bart-nevens"
"Katrien","Partyka","K.","K. Partyka","CD&V",11,65,67,76,"/vlaamse-volksvertegenwoordigers/katrien-partyka"
"Lorin","Parys","L.","L. Parys","N-VA",29,531,217,560,"/vlaamse-volksvertegenwoordigers/lorin-parys"
"Lydia","Peeters","L.","L. Peeters","Open Vld",112,2480,300,2592,"/vlaamse-volksvertegenwoordigers/lydia-peeters"
"Peter","Persyn","P.","P. Persyn","N-VA",19,101,258,120,"/vlaamse-volksvertegenwoordigers/peter-persyn"
"Jan","Peumans","J.","J. Peumans","N-VA",219,1380,675,1599,"/vlaamse-volksvertegenwoordigers/jan-peumans"
"Ingrid","Pira","I.","I. Pira","Groen",22,152,203,174,"/vlaamse-volksvertegenwoordigers/ingrid-pira"
"Joris","Poschet","J.","J. Poschet","CD&V",13,176,308,189,"/vlaamse-volksvertegenwoordigers/joris-poschet"
"Grete","Remen","G.","G. Remen","N-VA",8,113,78,121,"/vlaamse-volksvertegenwoordigers/grete-remen"
"Els","Robeyns","E.","E. Robeyns","sp·a",107,1180,218,1287,"/vlaamse-volksvertegenwoordigers/els-robeyns"
"Tinne","Rombouts","T.","T. Rombouts","CD&V",138,460,739,598,"/vlaamse-volksvertegenwoordigers/tinne-rombouts"
"Axel","Ronse","A.","A. Ronse","N-VA",20,246,296,266,"/vlaamse-volksvertegenwoordigers/axel-ronse"
"Björn","Rzoska","B.","B. Rzoska","Groen",70,328,708,398,"/vlaamse-volksvertegenwoordigers/bjorn-rzoska"
"Freya","Saeys","F.","F. Saeys","Open Vld",19,276,266,295,"/vlaamse-volksvertegenwoordigers/freya-saeys"
"Hermes","Sanctorum-Vandevoorde","H.","H. Sanctorum-Vandevoorde","Onafhankelijke",132,556,659,688,"/vlaamse-volksvertegenwoordigers/hermes-sanctorum-vandevoorde"
"Willem-Frederik","Schiltz","W.","W. Schiltz","Open Vld",25,196,490,221,"/vlaamse-volksvertegenwoordigers/willem-frederik-schiltz"
"Katrien","Schryvers","K.","K. Schryvers","CD&V",105,1840,419,1945,"/vlaamse-volksvertegenwoordigers/katrien-schryvers"
"Willy","Segers","W.","W. Segers","N-VA",74,867,131,941,"/vlaamse-volksvertegenwoordigers/willy-segers"
"Katia","Segers","K.","K. Segers","sp·a",33,243,253,276,"/vlaamse-volksvertegenwoordigers/katia-segers"
"Stefaan","Sintobin","S.","S. Sintobin","Vlaams Belang",178,905,409,1083,"/vlaamse-volksvertegenwoordigers/stefaan-sintobin"
"Elke","Sleurs","E.","E. Sleurs","N-VA",1,6,7,7,"/vlaamse-volksvertegenwoordigers/elke-sleurs"
"Nadia","Sminate","N.","N. Sminate","N-VA",12,89,74,101,"/vlaamse-volksvertegenwoordigers/nadia-sminate"
"Tine","Soens","T.","T. Soens","sp·a",52,631,282,683,"/vlaamse-volksvertegenwoordigers/tine-soens"
"Ann","Soete","A.","A. Soete","Onafhankelijke",5,10,16,15,"/vlaamse-volksvertegenwoordigers/ann-soete"
"Bart","Somers","B.","B. Somers","Open Vld",18,98,180,116,"/vlaamse-volksvertegenwoordigers/bart-somers"
"Valerie","Taeldeman","V.","V. Taeldeman","CD&V",51,2080,316,2131,"/vlaamse-volksvertegenwoordigers/valerie-taeldeman"
"Martine","Taelman","M.","M. Taelman","Open Vld",15,475,127,490,"/vlaamse-volksvertegenwoordigers/martine-taelman"
"Emmily","Talpe","E.","E. Talpe","Open Vld",7,414,226,421,"/vlaamse-volksvertegenwoordigers/emmily-talpe"
"Bruno","Tobback","B.","B. Tobback","sp·a",145,104,301,249,"/vlaamse-volksvertegenwoordigers/bruno-tobback"
"Güler","Turan","G.","G. Turan","sp·a",73,477,342,550,"/vlaamse-volksvertegenwoordigers/guler-turan"
"Wouter","Vanbesien","W.","W. Vanbesien","Groen",42,114,266,156,"/vlaamse-volksvertegenwoordigers/wouter-vanbesien"
"Ludo","Van Campenhout","L.","L. Van Campenhout","N-VA",1,41,51,42,"/vlaamse-volksvertegenwoordigers/ludo-van-campenhout"
"Wilfried","Vandaele","W.","W. Vandaele","N-VA",105,992,739,1097,"/vlaamse-volksvertegenwoordigers/wilfried-vandaele"
"Steve","Vandenberghe","S.","S. Vandenberghe","sp·a",23,316,115,339,"/vlaamse-volksvertegenwoordigers/steve-vandenberghe"
"Freya","Van den Bossche","F.","F. Van den Bossche","sp·a",41,146,139,187,"/vlaamse-volksvertegenwoordigers/freya-van-den-bossche"
"Elke","Van den Brandt","E.","E. Van den Brandt","Groen",50,246,428,296,"/vlaamse-volksvertegenwoordigers/elke-van-den-brandt"
"Joris","Vandenbroucke","J.","J. Vandenbroucke","sp·a",137,783,478,920,"/vlaamse-volksvertegenwoordigers/joris-vandenbroucke"
"Koen","Van den Heuvel","K.","K. Van den Heuvel","CD&V",129,817,546,946,"/vlaamse-volksvertegenwoordigers/koen-van-den-heuvel"
"Francesco","Vanderjeugd","F.","F. Vanderjeugd","Open Vld",7,442,115,449,"/vlaamse-volksvertegenwoordigers/francesco-vanderjeugd"
