MP,Party,Intervention,votes,Written_question,Activity
Helen Goodman,Labour,37,22,19,0.2396766488752091
Mr Robert Goodwill,Conservative,94,23,0,0.10356530889058796
Michael Gove,Conservative,27,23,0,0.10356530889058796
Patrick Grady,Scottish National Party,45,21,21,0.012252419372321827
Luke Graham,Conservative,29,23,6,0.23187198047441443
Richard Graham,Conservative,44,23,5,0.2104875352104434
Bill Grant,Conservative,16,23,2,0.14633419941853015
Mrs Helen Grant,Conservative,0,23,5,0.2104875352104434
Peter Grant,Scottish National Party,50,21,12,-0.1802075880034179
James Gray,Conservative,17,23,9,0.29602531626632766
Neil Gray,Scottish National Party,23,21,28,0.1619435362201194
Chris Grayling,Conservative,119,23,0,0.10356530889058796
Chris Green,Conservative,6,23,1,0.12494975415455906
Damian Green,Conservative,145,23,0,0.10356530889058796
Kate Green,Labour,43,23,88,1.985396492120043
Justine Greening,Conservative,221,22,0,-0.16662781114024144
Lilian Greenwood,Labour,27,22,33,0.5390588825708043
Margaret Greenwood,Labour,20,22,22,0.30382998466712235
Mr Dominic Grieve,Conservative,15,22,0,-0.16662781114024144
Nia Griffith,Labour,5,22,16,0.17552331308329586
Andrew Griffiths,Conservative,0,23,0,0.10356530889058796
John Grogan,Labour,25,23,18,0.4884853236420674
Andrew Gwynne,Labour,25,22,172,3.5114967742627847
Mr Sam Gyimah,Conservative,54,22,0,-0.16662781114024144
Louise Haigh,Labour,18,20,125,1.9660416067944848
Kirstene Hair,Conservative,4,23,5,0.2104875352104434
Robert Halfon,Conservative,37,23,0,0.10356530889058796
Luke Hall,Conservative,14,23,1,0.12494975415455906
Fabian Hamilton,Labour,8,22,0,-0.16662781114024144
Mr Philip Hammond,Conservative,70,18,0,-1.2474002912635591
Stephen Hammond,Conservative,24,23,34,0.8306364478656048
Matt Hancock,Conservative,62,23,0,0.10356530889058796
Greg Hands,Conservative,19,23,0,0.10356530889058796
David Hanson,Labour,55,19,134,1.888308494139395
Emma Hardy,Labour,13,22,45,0.7956722257384572
Ms Harriet Harman,Labour,8,18,39,-0.413406925968687
Mr Mark Harper,Conservative,86,23,0,0.10356530889058796
Richard Harrington,Conservative,29,23,0,0.10356530889058796
Carolyn Harris,Labour,10,22,47,0.8384411162663994
Rebecca Harris,Conservative,0,23,0,0.10356530889058796
Trudy Harrison,Conservative,9,23,6,0.23187198047441443
Simon Hart,Conservative,15,23,1,0.12494975415455906
Helen Hayes,Labour,21,22,31,0.49628999204286206
Mr John Hayes,Conservative,86,23,0,0.10356530889058796
Sue Hayman,Labour,2,22,6,-0.038321139556414974
Sir Oliver Heald,Conservative,13,23,1,0.12494975415455906
John Healey,Labour,30,22,43,0.752903335210515
James Heappey,Conservative,19,23,0,0.10356530889058796
Chris Heaton-Harris,Conservative,0,23,0,0.10356530889058796
Peter Heaton-Jones,Conservative,7,23,0,0.10356530889058796
Gordon Henderson,Conservative,7,23,0,0.10356530889058796
Mr Mark Hendrick,Labour (Co-op),7,22,42,0.7315188899465439
Drew Hendry,Scottish National Party,16,21,6,-0.30851425958724443
Mr Stephen Hepburn,Labour,5,22,31,0.49628999204286206
Nick Herbert,Conservative,7,18,0,-1.2474002912635591
Lady Hermon,Independent,41,22,37,0.6245966636266885
Mike Hill,Labour,5,22,14,0.1327544225553537
Meg Hillier,Labour (Co-op),27,23,10,0.31740976153029876
Damian Hinds,Conservative,40,23,0,0.10356530889058796
Simon Hoare,Conservative,39,23,0,0.10356530889058796
Wera Hobhouse,Liberal Democrat,33,16,6,-1.6594798597413913
Dame Margaret Hodge,Labour,1,15,10,-1.8441351987163364
Mrs Sharon Hodgson,Labour,13,22,38,0.6459811088906596
Kate Hoey,Labour,10,15,8,-1.8869040892442785
Kate Hollern,Labour,3,22,15,0.1541388678193248
George Hollingbery,Conservative,0,23,0,0.10356530889058796
Kevin Hollinrake,Conservative,54,23,2,0.14633419941853015
Mr Philip Hollobone,Conservative,59,23,13,0.38156309732221205
Adam Holloway,Conservative,0,18,2,-1.204631400735617
Kelvin Hopkins,Labour,34,20,35,0.04144153303708753
Stewart Hosie,Scottish National Party,7,18,15,-0.926633612303993
Mr George Howarth,Labour,45,8,7,-3.799640374724056
John Howell,Conservative,23,18,0,-1.2474002912635591
Mr Lindsay Hoyle,Labour,91,0,0,-6.110876451818488
Nigel Huddleston,Conservative,26,23,2,0.14633419941853015
Eddie Hughes,Conservative,18,23,0,0.10356530889058796
Mr Jeremy Hunt,Conservative,138,23,0,0.10356530889058796
Dr Rupa Huq,Labour,27,23,2,0.14633419941853015
Mr Nick Hurd,Conservative,31,23,0,0.10356530889058796
Imran Hussain,Labour,11,22,77,1.4799744741855319
Mr Alister Jack,Conservative,6,23,7,0.2532564257383855
Margot James,Conservative,127,23,0,0.10356530889058796
Christine Jardine,Liberal Democrat,11,18,1,-1.226015845999588
Dan Jarvis,Labour,14,17,77,0.12900887403138483
Sajid Javid,Conservative,197,23,0,0.10356530889058796
Mr Ranil Jayawardena,Conservative,26,23,13,0.38156309732221205
Mr Bernard Jenkin,Conservative,26,23,2,0.14633419941853015
Andrea Jenkyns,Conservative,0,12,2,-2.8257901209205936
Robert Jenrick,Conservative,36,23,0,0.10356530889058796
Boris Johnson,Conservative,74,18,0,-1.2474002912635591
Diana Johnson,Labour,66,19,108,1.332312917276147
Dr Caroline Johnson,Conservative,13,23,0,0.10356530889058796
Gareth Johnson,Conservative,5,23,0,0.10356530889058796
Joseph Johnson,Conservative,75,23,0,0.10356530889058796
Andrew Jones,Conservative,16,23,0,0.10356530889058796
Darren Jones,Labour,17,23,28,0.7023297762817782
Gerald Jones,Labour,9,22,6,-0.038321139556414974
Graham P Jones,Labour,36,14,15,-2.0074060924273103
Helen Jones,Labour,6,21,26,0.11917464569217723
Mr David Jones,Conservative,8,23,2,0.14633419941853015
Mr Kevan Jones,Labour,43,21,142,2.5997702963128226
Mr Marcus Jones,Conservative,64,23,0,0.10356530889058796
Sarah Jones,Labour,15,22,5,-0.059705584820386015
Susan Elan Jones,Labour,10,23,1,0.12494975415455906
Mike Kane,Labour,21,22,37,0.6245966636266885
Daniel Kawczynski,Conservative,28,20,32,-0.022711802754825705
Gillian Keegan,Conservative,6,23,1,0.12494975415455906
Barbara Keeley,Labour,7,14,25,-1.7935616397875997
Liz Kendall,Labour,6,21,0,-0.4368209311710709
Seema Kennedy,Conservative,0,23,0,0.10356530889058796
Stephen Kerr,Conservative,34,23,50,1.1727875720891419
Afzal Khan,Labour,5,21,23,0.05502130990026399
Gerard Killen,Labour (Co-op),4,13,2,-2.555597000889764
Stephen Kinnock,Labour,20,22,61,1.1378233499619945
Julian Knight,Conservative,37,21,13,-0.1588231427394468
Sir Greg Knight,Conservative,5,23,26,0.6595608857538361
Kwasi Kwarteng,Conservative,6,23,2,0.14633419941853015
Peter Kyle,Labour,12,22,25,0.3679833204590356
Mrs Eleanor Laing,Conservative,81,0,0,-6.110876451818488
Lesley Laird,Labour,3,21,5,-0.3298987048512155
Ben Lake,Plaid Cymru,11,19,84,0.8190862309408411
Norman Lamb,Liberal Democrat,44,18,56,-0.049871356481178686
Mr David Lammy,Labour,7,22,85,1.6510500362973004
John Lamont,Conservative,3,23,7,0.2532564257383855
Mark Lancaster,Conservative,15,18,0,-1.2474002912635591
Mrs Pauline Latham,Conservative,16,23,0,0.10356530889058796
Ian Lavery,Labour,0,22,20,0.26106109413918016
Chris Law,Scottish National Party,12,20,26,-0.1510184743386522
Andrea Leadsom,Conservative,407,23,0,0.10356530889058796
Dr Phillip Lee,Conservative,40,23,0,0.10356530889058796
Ms Karen Lee,Labour,12,22,0,-0.16662781114024144
Jeremy Lefroy,Conservative,35,18,12,-0.9907869480959062
Sir Edward Leigh,Conservative,41,23,19,0.5098697689060385
Mr Chris Leslie,Labour (Co-op),14,22,0,-0.16662781114024144
Sir Oliver Letwin,Conservative,21,23,0,0.10356530889058796
Mrs Emma Lewell-Buck,Labour,5,17,19,-1.111288951278938
Andrew Lewer,Conservative,3,23,1,0.12494975415455906
Brandon Lewis,Conservative,35,23,0,0.10356530889058796
Clive Lewis,Labour,7,21,16,-0.09466980694753357
Dr Julian Lewis,Conservative,41,23,2,0.14633419941853015
Mr Ivan Lewis,Labour,1,20,0,-0.7070140512019003
Mr Ian Liddell-Grainger,Conservative,17,18,0,-1.2474002912635591
Mr David Lidington,Conservative,36,23,0,0.10356530889058796
David Linden,Scottish National Party,49,21,174,3.2840725447598973
Emma Little Pengelly,Democratic Unionist Party,9,20,25,-0.17240291960262327
Stephen Lloyd,Liberal Democrat,22,13,15,-2.27759921245814
Tony Lloyd,Labour,45,22,0,-0.16662781114024144
Rebecca Long Bailey,Labour,8,22,46,0.8170566710024283
Julia Lopez,Conservative,6,23,0,0.10356530889058796
Jack Lopresti,Conservative,13,17,4,-1.4320556302385041
Mr Jonathan Lord,Conservative,3,23,9,0.29602531626632766
Tim Loughton,Conservative,23,23,11,0.33879420679426986
Caroline Lucas,Green Party,22,20,112,1.6880438183628608
Ian C. Lucas,Labour,20,22,9,0.02583219623549829
Holly Lynch,Labour,7,22,12,0.08998553202741152
Craig Mackinlay,Conservative,10,23,2,0.14633419941853015
Rachel Maclean,Conservative,46,23,4,0.1891030899464723
Angus Brendan MacNeil,Scottish National Party,21,16,18,-1.4028665165737384
Justin Madders,Labour,24,22,356,7.446234702833463
Mr Khalid Mahmood,Labour,4,19,0,-0.9772071712327297
Shabana Mahmood,Labour,1,22,6,-0.038321139556414974
Mrs Anne Main,Conservative,22,23,18,0.4884853236420674
Alan Mak,Conservative,11,23,0,0.10356530889058796
Seema Malhotra,Labour (Co-op),19,22,11,0.06860108676344046
Kit Malthouse,Conservative,30,23,3,0.1677186446825012
John Mann,Labour,20,18,69,0.22812643195044535
Scott Mann,Conservative,7,23,3,0.1677186446825012
Gordon Marsden,Labour,8,21,39,0.39717243412380127
Sandy Martin,Labour,12,22,2,-0.12385892061229925
