MP,Party,Intervention,votes,Written_question,Activity
Anna Soubry,Conservative,62,23,2,0.14633419941853015
John Spellar,Labour,20,20,36,0.06282597830105863
Dame Caroline Spelman,Conservative,21,23,0,0.10356530889058796
Mark Spencer,Conservative,0,23,0,0.10356530889058796
Keir Starmer,Labour,51,22,0,-0.16662781114024144
Chris Stephens,Scottish National Party,44,20,35,0.04144153303708753
Andrew Stephenson,Conservative,0,23,0,0.10356530889058796
Jo Stevens,Labour,31,18,69,0.22812643195044535
John Stevenson,Conservative,11,23,0,0.10356530889058796
Bob Stewart,Conservative,18,23,5,0.2104875352104434
Iain Stewart,Conservative,11,23,10,0.31740976153029876
Rory Stewart,Conservative,30,22,0,-0.16662781114024144
Jamie Stone,Liberal Democrat,8,15,1,-2.036595206092076
Mr Gary Streeter,Conservative,10,20,9,-0.5145540438261605
Wes Streeting,Labour,80,22,7,-0.016936694292443877
Mel Stride,Conservative,73,23,0,0.10356530889058796
Graham Stringer,Labour,15,20,8,-0.5359384890901316
Graham Stuart,Conservative,1,23,0,0.10356530889058796
Julian Sturdy,Conservative,3,23,15,0.4243319878501542
Rishi Sunak,Conservative,14,23,0,0.10356530889058796
Sir Desmond Swayne,Conservative,39,23,3,0.1677186446825012
Mr Paul J Sweeney,Labour (Co-op),22,22,2,-0.12385892061229925
Jo Swinson,Liberal Democrat,27,18,12,-0.9907869480959062
Sir Hugo Swire,Conservative,21,23,2,0.14633419941853015
Mr Robert Syms,Conservative,6,23,0,0.10356530889058796
Mark Tami,Labour,3,22,2,-0.12385892061229925
Alison Thewliss,Scottish National Party,59,21,39,0.39717243412380127
Derek Thomas,Conservative,15,23,0,0.10356530889058796
Gareth Thomas,Labour (Co-op),4,20,59,0.5546682193723935
Nick Thomas-Symonds,Labour,38,22,37,0.6245966636266885
Ross Thomson,Conservative,12,23,5,0.2104875352104434
Emily Thornberry,Labour,32,22,67,1.2661300215458209
Maggie Throup,Conservative,11,23,0,0.10356530889058796
Stephen Timms,Labour,43,23,97,2.1778564994957827
Kelly Tolhurst,Conservative,15,23,0,0.10356530889058796
Justin Tomlinson,Conservative,16,23,61,1.408016469992824
Michael Tomlinson,Conservative,66,23,7,0.2532564257383855
Craig Tracey,Conservative,12,23,5,0.2104875352104434
David Tredinnick,Conservative,1,23,1,0.12494975415455906
Mrs Anne-Marie Trevelyan,Conservative,10,23,4,0.1891030899464723
Jon Trickett,Labour,3,14,777,14.287541198718651
Elizabeth Truss,Conservative,67,23,0,0.10356530889058796
Tom Tugendhat,Conservative,15,22,1,-0.14524336587627035
Anna Turley,Labour (Co-op),1,10,9,-3.216485244134455
Karl Turner,Labour,23,22,22,0.30382998466712235
Derek Twigg,Labour,5,8,3,-3.88517815577994
Stephen Twigg,Labour (Co-op),27,22,11,0.06860108676344046
Liz Twist,Labour,16,22,4,-0.08109003008435711
Chuka Umunna,Labour,16,20,7,-0.5573229343541027
Mr Edward Vaizey,Conservative,31,22,8,0.00444775097152722
Mr Shailesh Vara,Conservative,9,23,0,0.10356530889058796
Keith Vaz,Labour,24,18,75,0.35643310353427193
Valerie Vaz,Labour,47,22,3,-0.10247447534832821
Martin Vickers,Conservative,12,23,1,0.12494975415455906
Theresa Villiers,Conservative,22,23,20,0.5312542141700096
Mr Charles Walker,Conservative,23,21,3,-0.37266759537915767
Mr Robin Walker,Conservative,22,23,0,0.10356530889058796
Thelma Walker,Labour,14,22,28,0.4321366562509488
Mr Ben  Wallace,Conservative,8,23,0,0.10356530889058796
David Warburton,Conservative,1,20,0,-0.7070140512019003
Matt Warman,Conservative,18,23,5,0.2104875352104434
Giles Watling,Conservative,7,21,1,-0.4154364859070998
Tom Watson,Labour,11,18,57,-0.02848691121720759
Catherine West,Labour,32,20,238,4.382483921623217
Matt Western,Labour,9,22,0,-0.16662781114024144
Helen Whately,Conservative,50,23,1,0.12494975415455906
Mrs Heather Wheeler,Conservative,0,23,0,0.10356530889058796
Dr Alan Whitehead,Labour,9,21,3,-0.37266759537915767
Martin Whitfield,Labour,18,22,2,-0.12385892061229925
Dr Philippa Whitford,Scottish National Party,53,21,22,0.03363686463629291
Craig Whittaker,Conservative,0,23,1,0.12494975415455906
Mr John Whittingdale,Conservative,13,23,1,0.12494975415455906
Bill Wiggin,Conservative,7,23,1,0.12494975415455906
Dr Paul Williams,Labour,11,21,5,-0.3298987048512155
Hywel Williams,Plaid Cymru,24,19,93,1.0115462383165807
Chris Williamson,Labour,10,22,22,0.30382998466712235
Gavin Williamson,Conservative,0,23,0,0.10356530889058796
Phil Wilson,Labour,6,22,0,-0.16662781114024144
Sammy Wilson,Democratic Unionist Party,20,22,0,-0.16662781114024144
Dame Rosie Winterton,Labour,28,0,0,-6.110876451818488
Pete Wishart,Scottish National Party,79,21,3,-0.37266759537915767
Dr Sarah Wollaston,Conservative,22,23,11,0.33879420679426986
Mike Wood,Conservative,21,23,1,0.12494975415455906
John Woodcock,Labour (Co-op),19,20,4,-0.6214762701460159
Mr William Wragg,Conservative,14,23,15,0.4243319878501542
Jeremy Wright,Conservative,31,23,0,0.10356530889058796
Mohammad Yasin,Labour,12,21,11,-0.20159203326738898
Nadhim Zahawi,Conservative,8,23,0,0.10356530889058796
Daniel Zeichner,Labour,22,23,33,0.8092520026016337
